ArticleText,ArticleCategory
"From: mark@bilpin.co.uk (Mark Allerton)
Subject: FOR SALE - MACINTOSH SE/30
Organization: SRL Data
Lines: 26
X-Useragent: Nuntius v1.1

FOR SALE

Apple Macintosh SE/30
8MB RAM, 80MB HD
System 7.1 Installed
RasterOps 264/30 24-bit video card for SE/30
Apple 13"" Monitor
Targus carrying case

I'm after offers in the region of 1250 pounds. I'm in the
north London area.

Contact Mark Allerton
E-Mail:
pascal@cix.compulink.co.uk
mark@bilpin.co.uk

Phone:
081 341 6400 (evenings/weekends)
071 267 2561 (office hours)
+-----------------------------------+
| Mark Allerton						|
| SRL Data							|
| mark@bilpin.co.uk					|
| pascal@cix.compulink.co.uk		|
+-----------------------------------+
",hardware
"From: Kathy_McTaggart@mindlink.bc.ca (Kathy McTaggart)
Subject: Sound input in SE/30
Organization: MIND LINK! - British Columbia, Canada
Lines: 19

A couple of questions for the multimedia set:


1.  Does anybody have a phone or fax number, or e-mail address, or name of a
principal in CEDAR Technologies in Dublin, New Hampshire? All I have is a
post-office box number, and I want to ask a couple of questions before
sending
them some money.  Any info much appreciated.

2.  I'm running an SE/30, which came with no microphone. Is there any way,
other than using MacRecorder with SoundEdit or CEDAR's digitizer with some
similar software, to input recorded sound into my Mac? I'm trying to play
some
very short interview clips in a HyperCard stack.

Thanks for any and all help.

Kathy McTaggart

",hardware
"From: jht9e@faraday.clas.Virginia.EDU (Jason Harvey Titus)
Subject: Re: HELP INSTALL RAM ON CENTRIS 610
Organization: University of Virginia
Lines: 8

	I had asked everyone about problems installing a 4 meg
simm and an 8 meg simm in my Centris 610, but the folks at the
local Apple store called the folks in Cupertino and found that
you can't have simms of different speeds in one machine, even
if they are both fast enough - ie - My 80 ns 8 meg and 60ns 4
meg simms were incompatibable...  Just thought people might
want to know.....
					Jason.
",hardware
"From: Dale_Adams@gateway.qm.apple.com (Dale Adams)
Subject: Re: Q800 Video RAM Questions
Distribution: na
Organization: Apple Computer, Inc.,  Cupertino, CA
Lines: 45

In article <1993Apr5.192833.19102@cbnews.cb.att.com> 
jbr0@cbnews.cb.att.com (joseph.a.brownlee) writes:
> Could someone post a *definitive* answer about the VRAM configuration 
> for the
> Q800 (and presumably the C610 and C650 as well).  There seems to be a 
> lot of
> confusion about this issue.  I'd like to know:
> 
>     .   What kind of SIMMs are the VRAM SIMMs (i.e. 30-pin, etc.)?

There's only one physical size for VRAM SIMMs (unlike DRAM SIMMs which 
come in many, many sizes and pinouts), although they do come with 
differing amounts of VRAM on them.  The ones you need are 256KB SIMMs, are 
organized as 128K x 16, and have two 128K x 8 VRAM chips on them.  This is 
the only size which the Quadra and Centris machines can use.

>     .   How many VRAM SIMM slots are there?

Two.

>     .   What rules (if any) must be followed in filling the slots (e.g in
>                 pairs, sizes must match, etc.)?

Both SIMM slots must be filled; putting a SIMM in only one slot does 
nothing for you.

>     .   How fast must they be?

80 ns for the Q800 and C650, 100 ns for the C610.

>     .   Is there any other relevant information?

There are certain VRAM chip manufacturers whose parts are not compatible 
with the Quadra and Centris video hardware.  Make sure that the source you 
get them from guarantees compatiblity.  In general, if it works in a Q950,
it will work in a Q800.

> Please don't reply unless you have the *correct* information.  Many 
> thanks in
> advance for helping to eliminate some noise from this group.

Trust me.  ;-)

- Dale Adams
  Apple Computer, Inc.
",hardware
"From: kjt001@dunix.drake.edu (Albatross)
Subject: Re: 14"" monitors
Article-I.D.: dunix.1993Apr6.012714.11565
Distribution: na
Organization: Drake University, Des Moines, Iowa, USA
Lines: 12

On a related note, will the 1304 work on a Centris 650 with internal video
and give the multiple resolutions?

This I'm VERY curious about...

Thanks!

-- 
|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\
|/-\|/-\|/-\  Kevin Tieskoetter |/-\|/-\ Technical Support  |/-\|/-\|/-\
|/-\|/-\|/-\ Drake Looniversity |/-\|/-\ MicroFrontier, Inc |/-\|/-\|/-\
|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\|/-\
",hardware
"From: scot@jlc.mv.com (Scot Salmon)
Subject: NuTek Email?
Organization: John Leslie Consulting, Milford NH
Lines: 9

Does NuTek (or anyone at NuTek) have an email address?

If not, why not? =)

-- 
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-
Good Things: Books by Robert Heinlein, Music by Enya, Computers by Apple,
             Humor by Dave Barry, Thursday nights on NBC, and Scotland.
-=-=-=-=-=-=-=-=-=-=-=- Scot Salmon (scot@jlc.mv.com) -=-=-=-=-=-=-=-=-=-=-=-=-
",hardware
"From: ivancich@eecs.umich.edu (Eric Ivancich)
Subject: Re: 14"" monitors
In-Reply-To: fredm@media.mit.edu's message of Wed, 31 Mar 1993 20:39:45 GMT
Organization: University of Michigan EECS Department
Distribution: na
Lines: 37

In article <1993Mar31.203945.8757@news.media.mit.edu> fredm@media.mit.edu (Fred G Martin) writes:

   [part of posting removed]

   * the Sony CPD-1304 has better video circuitry than either of the
   other two monitors.  It can display Apple 640x480, VGA 640x480, VGA
   800x600 (though this has 56 Hz flicker), and Apple 832x624 (75 Hz
   refresh:  no flicker at all).  It might be able to display Apple's
   1024x768, but I'm not sure about this, and the pixels would be real
   small anyway so it might not be that useful.

   Note that with either Sony monitor, you will need the proper adapter,
   which both connects the video signals properly, but also informs the
   Macintosh video hardware of which display mode to use.

   [part of posting removed]

   -- 
   Fred Martin | fredm@media.mit.edu | (617) 253-7143 | 20 Ames St. Rm. E15-301
   Epistemology and Learning Group, MIT Media Lab     | Cambridge, MA 02139 USA

I'm assuming that the cabling tells the Mac, at startup, what kind of
monitor is connected.  Now I think I've seen ads in popular Mac
magazines for products (I'm not sure if it's just a monitor, just a
video card, or a package of both) that allow you to change resolutions
on the fly (w/o restarting the Mac).

If you were to buy a 1304, would it be possible to switch back and
forth between Apple 640x480 and Apple 832x624 without restarting the
Mac?  Is this strictly a hardware startup function, or can software
intervene, or does the Mac hardware occasionally probe the cable
setting and switch automatically?

Thanks,

Eric
(ivancich@eecs.umich.edu)
",hardware
"From: lex@optimla.aimla.com (Lex van Sonderen)
Subject: Re: CD-ROM multisession
Nntp-Posting-Host: emerald
Organization: Philips Interactive Media of America
Lines: 19

In article <1pgifo$efb@msuinfo.cl.msu.edu> gary@ah3.cal.msu.edu writes:
>As I said ""I know a multisession CD-ROM is necessary if you do more photos...""
>BUT what if it is just a writable CD-ROM drive and do a second ""session""
>do you need one for that too?

If you write a second time to a CD you need to have multi-session capability to
read the second session.  Whether it is photos or just data or whatever.

Here is a simplified way of looking at it:
The first session has the directory structure burned at some tracks.  The
second session has a newer directory structure, but the first directory still
exists, because you cannot change, only add.  So if you put that in a 'normal'
drive and it will only look to the first directory and think it has found all
data.  Multisession kindof means that the drive will look for the last
directory written to the disc, older systems look only for 'the' directory, not
taking multiple directories into account.

Lex van Sonderen
Philips Interactive Media
",hardware
"From: f2ehg786@umiami.ir.miami.edu
Subject: Disappointed by La Cie
Organization: Univ of Miami IR
Lines: 52

Approximately four months ago, I purchased a Quantum 240LPS HD from La Cie for
$649. After two months, the drive started having problems. First, there were
intermittent freezes, then corrupted files and resources, then Silverlining
5.41 wouldn't even recognize the drive. So I got an RMA from La Cie and
exchanged the new drive for a reconditioned one.

Well, about a month has passed now and the second drive is having problems.
Often, when I boot up my IIsi I get the flashing question mark. Sometimes, if I
then insert the Silverlining (5.42) program I can get it to recognize the drive
by making it scan over and over for drives. At that point I can restart the
IIsi and boot from the HD. I've called La Cie again and they've given me
another RMA. Their tech support people tell me that if Silverlining doesn't see
the drive there's a definite hardware problem.

Given that this is the second bad drive in four months, I asked La Cie to send
me a *new* one, but they said ""no."" Also, within three weeks after I purchased
my original drive, La Cie dropped the price on it by over $100.

I can accept that a drive (or two) may be bad. And I know that hardware vendors
make a practice of sending reconditioned replacements when they do repairs. And
I understand that the nature of the computer industry lends itself to sudden
price fluctuations. Nevertheless, taken together, the convergence of these
facts/events have left a bad taste in my mouth. (I should have added above that
when I asked La Cie to transfer the contents of my current drive to the one
they will send_I think the data is still in good shape and I'll have to again
reinstall everything from floppies_they said it would cost me $250 for data
recovery.)

It seems to me that reconditioned hardware should be sold as reconditioned at a
discounted price, and that replacements for new hardware gone bad (still
covered under a 90-day warranty) should be new. 

I feel a little helpless about all this. I don't mean to necessarily flame La
Cie_their support staff have always been friendly and sometimes even helpful.
But c'mon. Sometimes a little extra customer service goes a long way. (I sent
a letter to La Cie's customer service when the first drive was returned and I
asked them for a credit on the price difference since I had purchased the drive
three weeks before they slashed the price. I told them I would like to apply
the credit toward the purchase of another La Cie product. They didn't even 
have the courtesy to reply one way or the other.)

What's the moral of this story? I'm not sure. But I do know I won't buy any
other products from La Cie in the future.

Bill Krauthammer
f2ehg786@umiami.ir.miami.edu

PS Please don't email or post about how good your La Cie product and service
has been. I'm not suggesting that they are not a good company or anything like
that. All I'm saying is that I've had a disappointing experience with them and
I'll be taking my business elsewhere in the future.

",hardware
"From: vng@iscs.nus.sg
Subject: Wyse 60 Terminal Emulator
Reply-To: VNG@ISCS.NUS.SG
Organization: Dept of Info Sys and Comp Sci, National University of Singapore, SINGAPORE
Lines: 6

Is there a Wyse 60 Terminal Emulator or a comms toolbox kit available on the
net somewhere?

Thanks.

Vince
",hardware
"From: ad@dcs.st-and.ac.uk (Tony Davie)
Subject: Re: NUTEK FACES APPLE'S WRATH (article!!!!!!) READ
Nntp-Posting-Host: bruichladdich.dcs.st-and.ac.uk
Organization: St.Andrews University
Lines: 24

In article <1993Mar31.221104.21890@leland.Stanford.EDU>, tedebear@leland.Stanford.EDU (Theodore Chen) writes:


> there isn't any copyright equivalent of the res ipsa doctrine,
> but there's something kind of similar.  to show infringement, one
> element you need to show is that the defendant copied from your work.
> if you're lucky, you'll have direct evidence of copying - the smoking
> gun.  normally, you do this through circumstantial evidence, by showing
> evidence of access from which one might reasonably infer copying.
> this evidence of access is considered along with the similarities
> between the two works in deciding whether you copied.  however, if
> the similarities are so strong as to be ""striking"", an inference of
> copying may be drawn even without any evidence that the defendant had
> access to your copyrighted work.
> 
> in that case, the burden will be on the defendant to rebut the inference
> of copying.  for example, evidence that he'd been on a desert island for
> the last ten years and had no contact with civilization.
> 

WOW! Now we know why lawyers are rich and computer scientists are poor!
Lawyers have to (sound as if they) understand this stuff.


",hardware
"From: cr@cs.strath.ac.uk (Chris Reid)
Subject: Quadra 700 memory upgrade
Organization: Univ. of Strathclyde, Glasgow, UK
Lines: 18
Distribution: world
NNTP-Posting-Host: simpson-06.cs.strath.ac.uk


Hi folks,

	what exactly is the maximum memory I can put in
a Quadra 700. My manual says 20MB (with 4 x 4MB SIMMs), 
but MacWarehouse and the like advertise 16MB SIMMs to
give it a total of 68MB. Who's wrong? Has anybody got
68MB?


Thanks,


	Chris

__________________________________________________________________________
Chris Reid    <cr@cs.strath.ac.uk>

",hardware
"From: bruceg@ccwf.cc.utexas.edu (Bruce Gimble)
Subject: built in video
Article-I.D.: geraldo.1pqt5nINN605
Reply-To: bruceg@ccwf.cc.utexas.edu (Bruce Gimble)
Distribution: usa
Organization: The University of Texas at Austin, Austin TX
Lines: 14
NNTP-Posting-Host: sneezy.cc.utexas.edu
Originator: bruceg@sneezy.cc.utexas.edu

I have MANY questions for all you experts out there pertaining to apple's
built-in video.  

#1, Do all macs that have built-in video have the ability to use VGA monitors?
#2, If so/if not, which macs have this capability?
#3, Can they drive SVGA as well?
#4, how big of a vga monitor can they drive?
#5, how can you tell if an unlabeled monitor is VGA?  By the pinouts?
    if so, what should it look like?

Particularly, i'm interested in knowing if the si or ci drive VGA, as well
as the LC's capabilities in driving VGA/SVGA

Thanks!!!
",hardware
"From: tomj@pnet16.cts.com (Tom Jenkins)
Subject: LCIII vs. Centris 610?
Organization: People-Net [pnet16], NCTAMS EASTPAC
Lines: 8

Title says it all.  I'd be particularly interested in the performance
difference.  Just how much faster (50%?) is the Centris 610 over the LCIII?

--Tom

UUCP: humu!nctams1!pnet16!tomj
ARPA: humu!nctams1!pnet16!tomj@nosc.mil
INET: tomj@pnet16.cts.com
",hardware
"From: cmmiller@iastate.edu (C. M. Miller)
Subject: RESULTS of Mathematica Speed Tests!!
Organization: Iowa State University, Ames, IA
Lines: 84

Well, here are the results of the Mathematica test which I posted to
this newsgroup.  The ""test"" was the following command:

>Plot3D[((-2*9000)/(2*3.1416*((x-5000)^2+(y-8000)^2+
>81000000)^1.5))+((-3*9000)/(2*3.1416*((x-10000)^2+
>(y-1000)^2+81000000)^1.5))+((4*2000)/(2*3.1416*
>((x-7000)^2+(y-10000)^2+4000000)^1.5)),
>{x,-5500,19500},{y,-5500,19500},PlotPoints->50]


I was just curious how fast the plot command would be executed on
various Macintosh machines as well as other personal computers and
workstations.  The results are posted below:

Machine		System		Math vers.	# of trials	time, min

PB 170		7.0.0 with	2.1		2		2:08
		tuneup/8MB
		RAM/5MB for
		Mathematica

DEC 5000	Ultrix v4.2a	2.1 for		1		0:25
		DEC RISC	
					
IIsi		7.1/cache@96MB	1.2f33Enh.	1		4:30
		25MHz/5MB RAM/
		3MB for Math./
		w/ 68882

C650		7.1/8MB RAM			2		0:32

Q800		8MB/Cache@384/	1.2				1:01
		4MB for Math.	

Sparc		SunOS4.1.3					0:14
Station		40MB RAM

SGI Iris/4D	R3000 RISC					<0:01
		processor
		version

Sparc		SunOS4.1.2	2.1 				0:26
Station2

IIsi		7.1						3:15

NeXT		NeXTSTEP 2.1	1.2				2:38
Cube		68030 based/
		w/ coprocessor	

NeXT		NeXTSTEP 3.0	1.2		5(ave)		0:52
Cube		68040/25MHz/
		20 MB RAM

IIsi		17MB/8MB for	2.102 Enha			3:15
		Math.			
		w/ 68882

NeXT		16MB RAM/			1 		0:37
		25 MHz 040/
		Workspace
		Manager 2.1

Funny how the IIsi running at 25 MHz is slower than other equivalent
machines, lots slower in fact.  Perhaps the version of Mathematica
makes a difference or the fact that not much RAM was allocated.
Another interesting thing is how fast the SGI did it.  Wow. 

Basically, though, I wouldn't draw any conclusions from this data.  It
seems that Mathematica's speed is dependant on a lot of variables.  I
was just curious how different machines would measure up.  

Well, if you have any questions or if I forgot something, just drop me
a line at ""cmmiller@iastate.edu"".  

Chad

PS  If the spacing of the above table doesn't come out right on your
machine, tell me and I'll mail you a copy of this in a binhexed Word
5.1 document.  




",hardware
"From: farrar@cogsci.ucsd.edu (Scott Farrar)
Subject: Re: Caps Lock vs. control ( was:Re: Apple keyboard )
Organization: University of California, San Diego
Lines: 9
Distribution: world
NNTP-Posting-Host: cogsci.ucsd.edu

Please excuse and redirect me if this has already been answered, but is
there a small utility that switches the functionality of the caps-lock
key and the ctrl key on the powerbook keyboard?  I use the ctrl key far
more than caps-lock, so it would be more convenient and comfortable.
Thank you for any help,
Scott Farrar



",hardware
"Subject: MAC to LaserJet IIIp
From: osterber@husc8.harvard.edu (Richard Osterberg)
Nntp-Posting-Host: husc8.harvard.edu
Lines: 12


I have a friend who has a MAC (LC or LC II I think), and her family has an
""extra"" LaserJet IIIp sitting around. Is there any way to connect these
two and make them work without a postscript cartridge?  She told me that a
random friend of hers had mentioned something about some software package
that could do the translation...
-Rick
-- 
+--------------------------------------------------------------------------+
|  Rick Osterberg   osterber@husc.harvard.edu  617-493-7784  617-493-3892  |
|     2032 Harvard Yard Mail Center   Cambridge, MA   02138-7510   USA     |
+--------------------------------------------------------------------------+
",hardware
"From: Dale_Adams@gateway.qm.apple.com (Dale Adams)
Subject: Re: HELP INSTALL RAM ON CENTRIS 610
Organization: Apple Computer Inc.
Lines: 23

In article <C5115s.5Fy@murdoch.acc.Virginia.EDU> 
jht9e@faraday.clas.Virginia.EDU (Jason Harvey Titus) writes:
>         I had asked everyone about problems installing a 4 meg
> simm and an 8 meg simm in my Centris 610, but the folks at the
> local Apple store called the folks in Cupertino and found that
> you can't have simms of different speeds in one machine, even
> if they are both fast enough - ie - My 80 ns 8 meg and 60ns 4
> meg simms were incompatibable...  Just thought people might
> want to know.....

There's absolutely no reason why differences in the DRAM access time 
_alone_ would cause an incompatibility.  There would have to be another 
difference between the SIMMs for there to be a problem.  I've often used 
memory of different speeds with no problems whatsoever.  As long as it's
as fast (or faster) than the minimum requirement you should be fine.

Just out of curiosity, did you actually try this and see a problem, or 
were you told it wouldn't work and so never tried it?  Also out of 
curiosity, do you know exactly who in Cupertino you dealer talked to (as 
I'd like to find out what they're basing this recommendation on).

- Dale Adams
  Apple Computer, Inc.
",hardware
"From: s912013@minyos.xx.rmit.OZ.AU (Douglas Barry Mcpherson)
Subject: Laser Writer IINTX upgrade kit
Organization: Royal Melbourne Institute of Technology
Lines: 15
NNTP-Posting-Host: minyos.xx.rmit.oz.au

Could someone please tell me what a 

LaserWriter IINTX upgrade kit is.

Its a small box, which has a bag inn it , seemingly
containing 6 chips (look like ROMS) and a IINTX manual.
The installation instructions are most informative and say, in full,
""This product must be installed by an Apple .........""

SO what does this do ? At first I thought it might be a NT to NTX
upgrade, but I thought that required an entirely new board.

Any info appreciated.

Doug.
",hardware
"From: chairman@staff.tc.umn.edu (Gene Naftulyev)
Subject: FOR SALE: Ethernet board / 24 bit Supermac Combo
Article-I.D.: news2.C51oH4.42y
Organization: U of M
Lines: 26
X-Xxmessage-Id: <A7E6634E48016506@dialup-slip-1-6.gw.umn.edu>
X-Xxdate: Mon, 5 Apr 93 04:29:34 GMT
Nntp-Posting-Host: dialup-slip-1-6.gw.umn.edu
X-Useragent: Nuntius v1.1.1d17

Gene's stuff for sale...NEW PRICES!!!

The following items are for sale:

Qty.    Description                                     List    Price
________________________________________________________________________

1       SuperMac ColorLink SX/T 24 bit NuBUS/10BASE-T  750.00  _549.00_
        This card is primo! selling for $675 mailorder
        It suports monitors up to 19 in. with 28"" x 28""
        virtual desktop. Accelerated, hardware pan, etc!
        This quick sale price includes free 2nd day air!
        
1       Seagate ST1480 430 meg 3.5 in HD 2 mo. old      989.00   675.00

NOTE:   All hardware is in normal working order. Prices do NOT include
        shipping. All items shipped COD (USA) or pre-paid (anywhere)

Sold:
1       IIsi NuBUS adapter card with FPU                189.00  _115.00_

For any items please contact:

Gene Naftulyev
chairman@staff.tc.umn.edu
or call (612) 942-0134
",hardware
"From: Alexander Samuel McDiarmid <am2o+@andrew.cmu.edu>
Subject: Re: SE Serial Port Speed????
Organization: Sophomore, Mechanical Engineering, Carnegie Mellon, Pittsburgh, PA
Lines: 14
NNTP-Posting-Host: po4.andrew.cmu.edu
In-Reply-To: <QfkD=X200WBK0_Ca0n@andrew.cmu.edu>

Excerpts from cmu.comp.sys.mac: 5-Apr-93 Re: SE Serial Port Speed???? by
Samuel John Kass@andrew. 
>  
> Sorry, I got a bit technical.  To answer your question, your Mac SE will
> have no problem whatsoever communicating with any modem that is 57,600
> bps or less, and since modems THAT fast don't exist yet (in a
> standardized form), there's no need to worry.
>  
actually a 14.4 kbps modem using standard compression (v3.2 v4.2.bis?)
cna reach 57,600 bps, however I have not seen any server modems that
have hardware compression.  I have been told the annex modems here break
up at ~36k, but I have never seen faster than 14.4kbps.

                                                                _A.
",hardware
"From: oelt0002@student.tc.umn.edu (Bret Oeltjen)
Subject: Cheap video card for LC?  w/fpu?
Nntp-Posting-Host: dialup-slip-1-33.gw.umn.edu
Organization: University of Minnesota
Lines: 7

Just wondering if anyone had info/experience with a video/fpu for a mac LC,
just thinking of adding a second monitor, most likely grayscale.


Bret Oeltjen                 exp(Pi i) + 1 = 0
University of Minnesota
Electrical Engineering
",hardware
